programme_code,programme_name,faculty,department,description,social_intensity,practical_theoretical_balance,stress_level,career_prospects,academic_difficulty,creativity_requirement,leadership_opportunities,research_intensity,community_engagement,innovation_focus,modules_y1_count,modules_y2_count,modules_y3_count,modules_y1,modules_y2,modules_y3
2.3.23,Hospitality as Praxis,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,Hospitality as a form of social practice and care,0.9,0.8,0.7,0.5,0.3,0.4,0.6,0.2,0.8,0.3,2,3,3,Histories and Futures of Hospitality; The Host as Educator and Healer,"Radical Welcome: Access, Consent, and Cultural Warmth; Designing Encounters: Food, Gesture, Environment; Hospitality and Power: Who Serves, Who Rests?","Capstone: Design and Host a Multi-Species Hospitality Event; Anti-Extractive Hosting in Institutional Settings; Maintenance, Mess, and Mutuality in Daily Life"
3.2.29,Intergenerational Learning,Faculty of Hearth and Transformation,Learning Futures,Learning across generations and age groups,0.9,0.6,0.5,0.6,0.5,0.6,0.7,0.4,0.9,0.5,2,3,3,"Lifespan Learning: Cognitive, Emotional, and Social Perspectives; The Role of Elders, Children, and Peers in Knowledge Cultures","Designing for Dialogue Across Generations; Memory, Story, and Shared Futures; Intergenerational Learning in Family, Community, and Institutional Settings","Capstone: Design and Evaluate a Multi-Generational Learning Experience; Learning as Kinship: Ethics and Boundaries of Relational Education; Time, Trust, and Transmission: Rethinking Educational Legacies"
1.1.2,Mutual Aid and Guild Governance,Faculty of Hearth and Transformation,Community Labour & Cooperative Innovation,Community mutual aid and guild-based governance,0.9,0.8,0.6,0.5,0.4,0.5,0.8,0.3,0.9,0.5,2,3,3,History of Mutual Aid and Guild Traditions; Foundations of Self-Governance,Legal Frameworks for Commons and Cooperatives; Facilitation and Decision-Making in Flat Structures; Intergenerational Knowledge and Care Systems,Conflict Transformation and Restorative Governance; Capstone Project: Establishing a Living Charter; Governance Design for Emergent Communities
2.1.15,Radical Mentorship,Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Relational programme exploring mentorship as political practice, transformative presence, and care.",0.88,0.65,0.5,0.55,0.55,0.6,0.82,0.35,0.82,0.6,2,3,3,"The Mentor’s Role: Presence, Power, and Practice; Foundations in Relational Learning","Building Trust Across Difference; Scaffolding Growth: Encouragement, Challenge, Timing; Mentorship in Context I: Personal, Cultural, Political","Mentorship in Context II: Practicum and Peer Feedback; Capstone: Designing a Radical Mentorship Programme; Navigating Endings: Legacy, Loss, and Letting Go"
2.3.21,Restorative Space Design,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Design programme focused on creating spaces that hold healing, transition, and communal restoration.",0.75,0.7,0.45,0.6,0.55,0.8,0.55,0.45,0.72,0.7,3,3,3,"Principles of Restorative Space; Materials, Light, and Layout for Healing; Thresholds and Transitions: Entering With Intention",Sensory Architecture and Emotional Atmosphere; Ritual and Symbol in Spatial Design; Co-Designing With Community Needs,"Capstone: Transform a Space for Restorative Use; Ethics of Hospitality and Access; Designing for Uncertainty: Crisis, Grief, Renewal"
2.4.25,Timekeeping in Plural Cultures,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal",Cultural timekeeping and temporal practices,0.6,0.5,0.4,0.4,0.6,0.5,0.4,0.6,0.7,0.4,2,3,3,"Time as Construct: Clocks, Moons, and Memory; Rhythms of the Body, Land, and Cosmos",Calendars and Cosmologies: Comparative Temporal Systems; Interrupting the Clock: Rituals of Rest and Reversal; Designing Temporal Tools for Community Use,"Capstone: Construct a Plural-Time Framework for a Real-World Setting; Timekeeping and Power: Whose Time, Whose Pace?; Futures of Time: Nonlinear Learning and Post-Work Worlds"
4.1.33,Ancient Tongues and Translation,Faculty of Integrative Inquiry,Language and Symbol,Ancient language study and translation work,0.4,0.4,0.5,0.5,0.8,0.4,0.4,0.8,0.5,0.3,2,3,3,"Introduction to Ancient Lexicons: Form, Function, Power; Script and Sound: Orthography Through Time",Translators as Bridgebuilders: Ethics and Dilemmas; Reconstructing Lost Grammar Systems; Magical Texts and Forbidden Phrases,Capstone: Translate and Annotate a Ritual or Found Text; Language Death and Revival: A Political Linguistics Practicum; Polyphonic Meaning: Translating Without Colonising
4.1.34,Comparative Runes and Scripts,Faculty of Integrative Inquiry,Language and Symbol,Comparative study of runic systems and scripts,0.3,0.3,0.4,0.4,0.8,0.3,0.3,0.9,0.3,0.2,2,3,3,"Introduction to Runic Systems: Function, Form, Origin; Scripts as Tools and Talismans","Carved Knowledge: Stone, Wood, Bone, Metal; Comparative Semiotics: Elven, Dwarven, Human, Other; Inscription Lab: Designing Functional Symbol Systems","Capstone: Develop a Scripted System for a Specific Community or Use; Runic Encoding and Hidden Messages; Power and the Written Form: Archives, Seals, and Spells"
4.4.43,Conflict Transformation through Cultural Design,Faculty of Integrative Inquiry,Political Myth and Governance,Cultural design for conflict resolution,0.9,0.7,0.8,0.6,0.7,0.8,0.8,0.6,0.8,0.7,2,3,3,Conflict as Pattern: Myths of Harmony and Rupture; Design Principles for Holding Heat,"Symbol, Space, and Story in Conflict Mediation; Ritual Technologies for Cultural Transformation; Restorying the Broken: Case Studies in Aesthetic Intervention",Capstone: Design a Ritual Process for Conflict Repair; From Fracture to Fractal: Nested Conflict Systems; Beauty as Mediator: Aesthetic Practice in Governance Repair
3.1.27,Epistemological Justice,Faculty of Integrative Inquiry,Ecologies of Knowledge,Justice in knowledge systems and ways of knowing,0.7,0.4,0.7,0.5,0.8,0.6,0.6,0.8,0.7,0.6,2,3,3,"What Counts as Knowledge? A Critical Introduction; Mapping Epistemic Power: Institutions, Identity, Inheritance",Marginalised Knowledges: Case Studies and Counter-Stories; Pedagogies of Refusal and Disobedience; Research as Repair: Methods for Epistemic Accountability,"Capstone: Design an Intervention for Epistemic Justice in a Chosen Setting; Ethics of Citation, Silence, and Centreing; From Justice to Joy: Knowledge for Liberation"
3.1.28,Indigenous and Folk Knowledge Systems,Faculty of Integrative Inquiry,Ecologies of Knowledge,"Interdisciplinary programme engaging Indigenous and folk epistemologies, land-based knowledge, and oral traditions.",0.7,0.42,0.5,0.5,0.65,0.65,0.5,0.72,0.82,0.55,2,3,3,"Introduction to Indigenous and Folk Epistemologies; Story, Land, and Lineage as Knowledge Archives","Seasonal Cycles and Place-Based Know-How; Oral Tradition, Performance, and Craft Transmission; Fieldwork: Learning with Local Knowledge Holders","Capstone: Collaborative Knowledge Project with a Community or Elder; Continuity and Innovation: Keeping Knowledge Alive; Knowledge Under Threat: Colonisation, Climate, and Cultural Loss"
4.1.35,Multispecies Semantics,Faculty of Integrative Inquiry,Language and Symbol,Communication and meaning across species boundaries,0.6,0.5,0.5,0.6,0.7,0.8,0.5,0.8,0.6,0.8,2,3,3,"Foundations in Cross-Species Communication; Meaning Beyond Words: Gesture, Scent, Frequency","Listening to the More-Than-Human World; Shared Contexts: Place, Pattern, and Play; Ethical Dilemmas in Inter-species Contact and Representation","Capstone: Design a Communicative Interface or Ritual Across Species; Decentralised Semantics: Forests, Swarms, Systems; Toward a Planetary Grammar: Futures of Communication"
4.4.44,Narrative Governance and Institution Building,Faculty of Integrative Inquiry,Political Myth and Governance,Storytelling in governance and institution design,0.8,0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.7,0.7,2,3,3,"Institutions as Stories: Memory, Myth, Mechanism; Governance Through Narrative Form","Scripts and Charters: The Architecture of Belief; Storytelling in Public Policy and Civic Ritual; Institutional Archetypes: The Tower, the Grove, the Gate","Capstone: Build a Narrative Framework for an Imagined Institution; Collapse and Rewriting: Institutional Myth as Adaptive Device; Governance as Theatre: Staging Trust, Accountability, and Change"
4.3.41,Wisdom Traditions and Moral Craft,Faculty of Integrative Inquiry,Philosophy and Ethics,Study and practice of wisdom traditions,0.6,0.5,0.3,0.4,0.6,0.5,0.6,0.5,0.7,0.4,2,3,3,"The Loom of Lore: Threads from Ancients and Elders; Tales That Teach: Fable, Parable, and Prophecy","Ethical Weaving: Truth, Ambiguity, and the Patterned Life; Moral Craft in Practice: Decision, Care, and Consequence; Silence, Stars, and Stillness: Ethical Insight from Nature",Capstone: Curate a Living Codex of Wisdom for a Future Generation; Walking the Spiral Path: Unknowing as Moral Maturity; The Listener’s Burden: Ethics in Reception and Response
1.2.6,Brewcraft and Fermentation Systems,Faculty of Living Lore,Food and Sustenance Technologies,Brewing and fermentation as cultural practice,0.6,0.8,0.3,0.5,0.4,0.6,0.4,0.4,0.6,0.5,2,3,2,"The Alchemy of Fermentation; Yeasts, Bacteria, and Microbial Worlds","Brewing Traditions and Cultural Practice; Chemistry and Safety in Ferment Labs; Designing Flavour: Herbs, Temperature, and Time","Capstone: Create a Heritage-Inspired Brew Line; Fermentation Futures: Probiotics, Policy, and Place"
4.4.42,Consensus Systems in Hybrid Societies,Faculty of Living Lore,Political Myth and Governance,Design of consensus systems for diverse societies,0.9,0.7,0.7,0.6,0.6,0.7,0.8,0.6,0.8,0.7,2,3,3,"Foundations of Consensus: Song, Circle, and Signal; Polylogic: Speaking Across Worlds and Logics","Rhizomatic Authority: When Roots Speak Without Kings; Systems of Slowness: Deep Time Decision-Making; Friction, Ritual, and the Role of Pause",Capstone: Design a Consensus Model for a Fractured Society; Dissent as Design Element; Sustaining Consent in the Face of Chaos and Change
4.3.40,Critical Power,Faculty of Living Lore,Philosophy and Ethics,Critical analysis of power structures and systems,0.7,0.4,0.8,0.5,0.8,0.6,0.7,0.8,0.7,0.6,2,3,3,"Power as Pattern: Visibility, Inheritance, Flow; Naming the Bindings: Ideology, Myth, and Control","Resistance as Ritual: Stories, Stones, and Sabotage; Quiet Revolutions: Subtle Acts of Elven Defiance; Power and the Gaze: Who Watches, Who Speaks, Who Remembers",Capstone: Re-map a System Through Critical Cartography; The Hollow Tree: Power’s Absences and Afterlives; Dreaming New Structures: An Ethics of Emergence
1.1.1,Distributed Workshop Economies,Faculty of Living Lore,Community Labour & Cooperative Innovation,Design of distributed economic systems,0.7,0.7,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.7,3,3,3,"Introduction to Cooperative Crafting; Material Cultures and Local Economies; Tools, Skills, and Guild Technologies","Distributed Production Models; Platform Cooperativism and Digital Infrastructure; Supply Chains, Commons, and Ethics",Designing Resilient Workshop Networks; Capstone Project: Building a Distributed Enterprise; Cooperative Finance and Circular Economies
4.3.39,Elven Ethics in Modern Governance,Faculty of Living Lore,Philosophy and Ethics,Application of elven ethical principles to governance,0.7,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.5,2,3,3,Rooted Reasoning: Foundations of Elven Moral Thought; Harmonies and Hierarchies: Structures of Elven Governance,"Governing With Grace: Silence, Consensus, and Song; Dissonance and the Disobedient Leaf: When Laws Falter; Comparative Ethics: Dwarven, Human, Elven Codes in Tension","Capstone: Design a Governance Ritual for a Fractured Realm; Shadow of the Grove: Corruption, Exile, and Redemption; Legacy and Liminality: Ruling Across Time and Species"
3.3.32,Embodied Research Methods,Faculty of Living Lore,Transdisciplinary Design and Praxis,Research methods that engage the body and senses,0.5,0.6,0.4,0.6,0.6,0.7,0.5,0.8,0.5,0.7,2,3,3,"The Body as Instrument, Archive, and Witness; Introduction to Embodied Inquiry Practices","Movement, Memory, and Meaning-Making; Autoethnography and Sensory Documentation; Ethics of Vulnerability and Exposure in Research",Capstone: Perform or Document an Embodied Research Process; Designing Research with Care and Consent; Beyond Objectivity: Knowing Through Being and Becoming
4.2.38,Folkloric Transmission and Archiving,Faculty of Living Lore,Oral Histories and Memorycraft,Transmission and preservation of folkloric knowledge,0.6,0.5,0.4,0.4,0.5,0.4,0.4,0.6,0.7,0.3,2,3,3,"Introduction to Folklore: Forms, Functions, Foundations; Modes of Transmission: Voice, Object, Movement","Fieldwork in Folk Practice: Song, Craft, Ceremony; Archive as Living Entity: Curation and Custodianship; Adaptation and Drift in Oral Tradition","Capstone: Curate a Multimodal Folklore Archive; Rituals of Retelling: When to Hold, When to Change; Decolonising the Archive: Authority and Access"
2.2.19,Integrated Mind-Body,Faculty of Living Lore,Healing and Embodied Knowledge,Integration of mental and physical practices,0.5,0.7,0.3,0.6,0.5,0.6,0.5,0.5,0.6,0.5,2,3,3,"Embodied Learning: Movement, Stillness, Attention; Foundations of Somatic Awareness","Teaching With the Body: Facilitation as Flow; Breath, Touch, and Grounding Techniques; Interoception and Trauma-Informed Practice","Capstone: Facilitate a Series of Body-Centred Workshops; Reflective Practice: Journaling, Mapping, Witnessing; The Body in Learning Institutions: Politics and Potential"
3.3.31,Knowledge System Prototyping,Faculty of Living Lore,Transdisciplinary Design and Praxis,Prototyping new knowledge systems and structures,0.6,0.7,0.6,0.8,0.7,0.9,0.7,0.8,0.6,0.9,2,3,3,Foundations of Systems and Frameworks; Mapping Knowledge: Visualisation and Vocabulary,"Designing for Complexity: Models, Tools, and Tensions; Rapid Prototyping for Learning and Decision-Making; Failure, Feedback, and Iteration in Knowledge Design","Capstone: Build and Test a Knowledge System for a Real-World Context; Ethics of Representation, Abstraction, and Power; Translating Between Worlds: Interdisciplinary Bridge-Building"
2.1.16,Listening Circles Facilitation,Faculty of Living Lore,"Education, Eldership, and Mentoring",Facilitation of listening circles and dialogue spaces,0.9,0.8,0.6,0.5,0.4,0.6,0.7,0.3,0.9,0.5,2,3,3,"Deep Listening: Practices from Many Traditions; Circle Structures: Time, Space, and Agreement",Holding Silence and Speaking Truth; Facilitator Ethics and Role Fluidity; Listening Across Conflict and Power Imbalances,Capstone: Facilitate a Series of Public Listening Circles; Designing Circles for Systemic Change; Circle Pedagogies and Collective Memory
2.3.22,Mediation,Faculty of Living Lore,Hospitality and Conflict Holding,Conflict mediation and resolution practices,0.9,0.8,0.8,0.6,0.5,0.6,0.7,0.4,0.8,0.5,2,3,3,"Foundations of Mediation and Dialogue; Listening Between: Power, Culture, Emotion","Conflict as Opportunity: Theories and Practices; Holding the Heat: De-escalation and Reframing; Mediation Across Difference: Language, Ability, Identity",Capstone: Mediation in Practice — Live or Simulated Casework; Reflective Practitioner Portfolio; Peacebuilding and Structural Justice
3.2.30,Pedagogies for Uncertain Times,Faculty of Living Lore,Learning Futures,Educational approaches for uncertain and changing times,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.7,2,3,3,"Learning in Crisis: Adaptive Theories of Change; Uncertainty as Curriculum: Improvisation, Reflection, and Risk","Slow Pedagogies and the Politics of Urgency; Teaching for Futures Not Yet Known; Climate, Collapse, and the Emotional Life of Learners","Capstone: Prototype a Learning Process for a Complex Challenge; Rehearsing the Unthinkable: Scenario Pedagogies and Ritual Learning; Rebuilding from the Rubble: Hope, Failure, and Regenerative Education"
4.2.36,Ritual and Recollection,Faculty of Living Lore,Oral Histories and Memorycraft,Ritual practice and memory work,0.6,0.6,0.3,0.4,0.5,0.6,0.5,0.5,0.7,0.4,2,3,3,"Memory as Method: Ritual, Repetition, Refrain; Personal and Collective Recollection Practices","Rituals of Grief, Joy, and Transition; Objects as Anchors: Material Memorywork; Intergenerational Storyholding",Capstone: Design a Community Ritual of Remembrance; Time Loops and Re-Enactment in Social Healing; Forgetting as a Political Act: Erasure and Resistance
1.5.12,Runic Infrastructure,Faculty of Living Lore,Stonework and Structural Alchemy,Design and implementation of runic infrastructure systems,0.4,0.8,0.6,0.7,0.7,0.6,0.6,0.6,0.4,0.7,3,3,3,"Introduction to Rune Logic and Symbolic Systems; Foundations of Structural Enchantment; Inscription Techniques: Stone, Metal, Clay","Infrastructure as Interface: Ancient and Modern; Binding, Warding, and Flow in Public Works; Translation and Recovery of Forgotten Runes",Capstone: Re-imagining a Public Utility Through Runes; Regulatory Glyphs and Civic Design; Ethics of Enchantment in Shared Environments
4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,Weaving stories and community historical narratives,0.8,0.6,0.4,0.5,0.5,0.8,0.6,0.6,0.9,0.6,2,3,3,"Oral Histories: Ethics, Skills, and Power Dynamics; The Storyweaver’s Craft: Listening, Shaping, Returning","Fieldwork: Interviewing, Mapping, Interpreting; Digital and Physical Story Archives; Community Consent and Cultural Stewardship","Capstone: Co-Create a Storyweaving Project With a Living Community; Counter-Histories and Disobedient Narratives; Narrating the Future: Hope, Speculation, Legacy"
