student_id,race,gender,ethnicity,prior_educational_experience,socio_economic_class_rank,physical_disability,mental_health_disability,specific_learning_disability,autistic_spectrum,adhd,dyslexia,other_neurodivergence,deaf_or_hearing_impaired,wheelchair_user,requires_personal_care,blind_or_visually_impaired,communication_difficulties,no_known_disabilities,academic_year,faculty_code,faculty,department_code,department,programme_code,programme
26,Dwarf,Female,Malachite,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.7,Precision Smithing and Design
27,Elf,Male,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,True,False,True,1,3,Faculty of Integrative Inquiry,3.3,Transdisciplinary Design and Praxis,3.3.31,Knowledge System Prototyping
28,Dwarf,Female,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.7,Precision Smithing and Design
29,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.1,"Education, Eldership, and Mentoring",2.1.16,Listening Circles Facilitation
30,Elf,Male,Rowan,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,3,Faculty of Integrative Inquiry,3.2,Learning Futures,3.2.29,Intergenerational Learning
31,Dwarf,Female,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.2,Oral Histories and Memorycraft,4.2.38,Folkloric Transmission and Archiving
32,Elf,Male,Rowan,Academic,3,False,False,False,False,False,True,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.8,Hammercraft
33,Dwarf,Male,Alabaster,Vocational,2,False,True,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
34,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
35,Elf,Other,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.8,Hammercraft
36,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,True,False,False,False,False,True,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.39,Elven Ethics in Modern Governance
37,Dwarf,Male,Granite,Academic,5,True,False,False,False,False,False,False,False,False,False,True,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.33,Ancient Tongues and Translation
38,Dwarf,Male,Sandstone,Vocational,4,True,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.4,Mechanics and Engineering,1.4.10,Logic & Leverage (Systems Engineering)
39,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,True,False,False,False,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.24,Ceremonies
40,Elf,Male,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.22,Mediation
41,Elf,Male,Baobab,Vocational,5,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.25,Timekeeping in Plural Cultures
42,Dwarf,Female,Gypsum,Vocational,2,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,Faculty of Applied Forging,1.2,Food and Sustenance Technologies,1.2.6,Brewcraft and Fermentation Systems
43,Dwarf,Male,Alabaster,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.1,"Education, Eldership, and Mentoring",2.1.16,Listening Circles Facilitation
44,Elf,Female,Ash,Vocational,3,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.25,Timekeeping in Plural Cultures
45,Elf,Male,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.34,Comparative Runes and Scripts
46,Dwarf,Female,Malachite,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.33,Ancient Tongues and Translation
47,Elf,Male,Ash,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True,1,3,Faculty of Integrative Inquiry,3.2,Learning Futures,3.2.29,Intergenerational Learning
48,Dwarf,Female,Sandstone,Vocational,2,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.1,Community Labour & Cooperative Innovation,1.1.1,Distributed Workshop Economies
49,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,True,False,False,False,False,False,1,3,Faculty of Integrative Inquiry,3.1,Ecologies of Knowledge,3.1.28,Indigenous and Folk Knowledge Systems
50,Dwarf,Male,Granite,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.8,Hammercraft
51,Elf,Other,Rowan,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
52,Dwarf,Female,Gypsum,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.34,Comparative Runes and Scripts
53,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.21,Restorative Space Design
54,Dwarf,Female,Alabaster,Vocational,2,True,False,False,False,True,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.1,Community Labour & Cooperative Innovation,1.1.3,Pedagogies of the Hand
55,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,True,False,True,1,3,Faculty of Integrative Inquiry,3.2,Learning Futures,3.2.30,Pedagogies for Uncertain Times
56,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,True,False,False,False,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.40,Critical Power
57,Elf,Male,Baobab,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.25,Timekeeping in Plural Cultures
58,Dwarf,Male,Flint,Vocational,5,True,False,False,False,True,False,True,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.4,Mechanics and Engineering,1.4.10,Logic & Leverage (Systems Engineering)
59,Elf,Male,Yew,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.39,Elven Ethics in Modern Governance
60,Elf,Male,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.5,Stonework and Structural Alchemy,1.5.12,Runic Infrastructure
61,Elf,Male,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3,Faculty of Integrative Inquiry,3.1,Ecologies of Knowledge,3.1.27,Epistemological Justice
62,Dwarf,Male,Alabaster,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.2,Food and Sustenance Technologies,1.2.4,Earth-Aligned Agriculture
63,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.33,Ancient Tongues and Translation
64,Dwarf,Male,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.35,Multispecies Semantics
65,Elf,Male,Palm,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
66,Elf,Female,Ash,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.2,Oral Histories and Memorycraft,4.2.37,Storyweaving & Community Histories
67,Elf,Male,Rowan,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.1,Community Labour & Cooperative Innovation,1.1.2,Mutual Aid and Guild Governance
68,Elf,Female,Palm,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
69,Elf,Male,Palm,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.7,Precision Smithing and Design
70,Dwarf,Other,Gypsum,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
71,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.5,Stonework and Structural Alchemy,1.5.13,Living Stone Architecture
72,Dwarf,Male,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.2,Food and Sustenance Technologies,1.2.4,Earth-Aligned Agriculture
73,Elf,Male,Yew,Vocational,5,False,False,False,False,True,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.25,Timekeeping in Plural Cultures
74,Elf,Female,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.43,Conflict Transformation through Cultural Design
75,Elf,Female,Ash,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.26,Ancient Rites
76,Dwarf,Female,Sandstone,Vocational,2,True,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.40,Critical Power
77,Dwarf,Female,Granite,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.4,Mechanics and Engineering,1.4.10,Logic & Leverage (Systems Engineering)
78,Elf,Male,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.2,Healing and Embodied Knowledge,2.2.19,Integrated Mind-Body
79,Dwarf,Male,Malachite,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
80,Dwarf,Male,Alabaster,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.22,Mediation
81,Dwarf,Female,Flint,Academic,2,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,Faculty of Applied Forging,1.5,Stonework and Structural Alchemy,1.5.13,Living Stone Architecture
82,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.5,Stonework and Structural Alchemy,1.5.12,Runic Infrastructure
83,Dwarf,Male,Malachite,Vocational,2,True,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.34,Comparative Runes and Scripts
84,Elf,Male,Yew,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.41,Wisdom Traditions and Moral Craft
85,Dwarf,Male,Malachite,Vocational,1,False,True,False,False,False,False,False,False,False,False,True,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.35,Multispecies Semantics
86,Dwarf,Male,Gypsum,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.1,Community Labour & Cooperative Innovation,1.1.3,Pedagogies of the Hand
87,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.2,Oral Histories and Memorycraft,4.2.38,Folkloric Transmission and Archiving
88,Dwarf,Female,Flint,Vocational,3,False,True,False,False,True,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.8,Hammercraft
89,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.8,Hammercraft
90,Elf,Female,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.44,Narrative Governance and Institution Building
91,Dwarf,Male,Gypsum,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.4,Mechanics and Engineering,1.4.11,"Hydraulics, Heuristics & Harmonics"
92,Elf,Female,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.2,Oral Histories and Memorycraft,4.2.36,Ritual and Recollection
93,Dwarf,Female,Granite,Vocational,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.44,Narrative Governance and Institution Building
94,Dwarf,Female,Alabaster,Academic,2,False,True,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.44,Narrative Governance and Institution Building
95,Dwarf,Female,Flint,Vocational,4,False,True,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.42,Consensus Systems in Hybrid Societies
96,Dwarf,Female,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.9,Artefact Restoration
97,Dwarf,Female,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.7,Precision Smithing and Design
98,Dwarf,Male,Sandstone,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.35,Multispecies Semantics
99,Dwarf,Male,Alabaster,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.1,Community Labour & Cooperative Innovation,1.1.1,Distributed Workshop Economies
100,Dwarf,Male,Flint,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.4,Mechanics and Engineering,1.4.11,"Hydraulics, Heuristics & Harmonics"
101,Elf,Male,Ash,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.35,Multispecies Semantics
102,Elf,Female,Rowan,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.1,"Education, Eldership, and Mentoring",2.1.16,Listening Circles Facilitation
103,Elf,Male,Palm,Academic,1,False,False,False,False,False,False,False,False,True,False,False,False,True,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.34,Comparative Runes and Scripts
104,Dwarf,Female,Alabaster,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.2,Healing and Embodied Knowledge,2.2.20,Dreaming and Somatic Inquiry
105,Elf,Female,Rowan,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.1,"Education, Eldership, and Mentoring",2.1.15,Radical Mentorship
106,Elf,Male,Baobab,Academic,3,False,False,False,True,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.21,Restorative Space Design
107,Elf,Male,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,True,False,False,True,1,3,Faculty of Integrative Inquiry,3.2,Learning Futures,3.2.29,Intergenerational Learning
108,Elf,Female,Rowan,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.1,"Education, Eldership, and Mentoring",2.1.16,Listening Circles Facilitation
109,Elf,Male,Ash,Vocational,3,True,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.2,Food and Sustenance Technologies,1.2.5,Mycelial Cultivation and Biotech
110,Elf,Male,Yew,Academic,4,False,False,False,False,True,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.2,Oral Histories and Memorycraft,4.2.36,Ritual and Recollection
111,Elf,Male,Yew,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.2,Healing and Embodied Knowledge,2.2.18,Herbal Practice and Energy Work
112,Dwarf,Male,Flint,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.5,Stonework and Structural Alchemy,1.5.12,Runic Infrastructure
113,Elf,Female,Rowan,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.43,Conflict Transformation through Cultural Design
114,Dwarf,Female,Alabaster,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.3,Forge Arts and Metallurgy,1.3.9,Artefact Restoration
115,Dwarf,Female,Sandstone,Vocational,5,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.1,Community Labour & Cooperative Innovation,1.1.3,Pedagogies of the Hand
116,Dwarf,Female,Malachite,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.34,Comparative Runes and Scripts
117,Dwarf,Female,Flint,Academic,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.5,Stonework and Structural Alchemy,1.5.13,Living Stone Architecture
118,Elf,Male,Baobab,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.34,Comparative Runes and Scripts
119,Dwarf,Female,Alabaster,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.39,Elven Ethics in Modern Governance
120,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.4,Mechanics and Engineering,1.4.11,"Hydraulics, Heuristics & Harmonics"
121,Elf,Female,Rowan,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.22,Mediation
122,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.1,Language and Symbol,4.1.34,Comparative Runes and Scripts
123,Dwarf,Male,Flint,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.2,Oral Histories and Memorycraft,4.2.38,Folkloric Transmission and Archiving
124,Elf,Male,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,True,True,1,4,Faculty of Living Lore,4.2,Oral Histories and Memorycraft,4.2.37,Storyweaving & Community Histories
125,Dwarf,Male,Gypsum,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.22,Mediation
126,Dwarf,Male,Sandstone,Vocational,3,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,Faculty of Applied Forging,1.5,Stonework and Structural Alchemy,1.5.13,Living Stone Architecture
127,Dwarf,Female,Gypsum,Vocational,4,False,True,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.21,Restorative Space Design
128,Elf,Female,Palm,Academic,5,True,False,False,True,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.21,Restorative Space Design
129,Elf,Male,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.24,Ceremonies
130,Dwarf,Female,Flint,Vocational,3,False,False,True,False,False,False,False,False,False,False,False,False,False,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.40,Critical Power
131,Elf,Male,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,Faculty of Hearth and Transformation,2.2,Healing and Embodied Knowledge,2.2.18,Herbal Practice and Energy Work
132,Dwarf,Male,Gypsum,Vocational,5,False,False,False,False,False,False,False,False,True,False,False,False,True,1,4,Faculty of Living Lore,4.4,Political Myth and Governance,4.4.43,Conflict Transformation through Cultural Design
133,Dwarf,Male,Gypsum,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True,1,4,Faculty of Living Lore,4.3,Philosophy and Ethics,4.3.41,Wisdom Traditions and Moral Craft
134,Dwarf,Male,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,Faculty of Applied Forging,1.1,Community Labour & Cooperative Innovation,1.1.1,Distributed Workshop Economies
135,Elf,Female,Yew,Academic,3,False,True,False,False,False,False,False,False,False,False,False,False,True,1,2,Faculty of Hearth and Transformation,2.2,Healing and Embodied Knowledge,2.2.18,Herbal Practice and Energy Work
136,Dwarf,Male,Gypsum,Vocational,2,False,False,True,False,False,False,False,False,False,False,False,False,True,1,1,Faculty of Applied Forging,1.2,Food and Sustenance Technologies,1.2.4,Earth-Aligned Agriculture
137,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,True,False,1,2,Faculty of Hearth and Transformation,2.4,"Rites, Rest, and Renewal",2.4.26,Ancient Rites
138,Dwarf,Female,Flint,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,Faculty of Hearth and Transformation,2.3,Hospitality and Conflict Holding,2.3.21,Restorative Space Design
